Date,Open,High,Low,Close,Volume,Adj Close
2016-09-08,107.25,107.269997,105.239998,105.519997,53002000,104.981001
2016-09-07,107.830002,108.760002,107.07,108.360001,42364300,107.806498
2016-09-06,107.900002,108.300003,107.510002,107.699997,26880400,107.149865
2016-09-02,107.699997,108.00,106.82,107.730003,26802500,107.179719
2016-09-01,106.139999,106.800003,105.620003,106.730003,26701500,106.184827
2016-08-31,105.660004,106.57,105.639999,106.099998,29662400,105.55804
2016-08-30,105.800003,106.50,105.50,106.00,24863900,105.458552
2016-08-29,106.620003,107.440002,106.290001,106.82,24970300,106.274363
2016-08-26,107.410004,107.949997,106.309998,106.940002,27766300,106.393753
2016-08-25,107.389999,107.879997,106.68,107.57,25086200,107.020532
2016-08-24,108.57,108.75,107.68,108.029999,23675100,107.478182
2016-08-23,108.589996,109.32,108.529999,108.849998,21257700,108.293993
2016-08-22,108.860001,109.099998,107.849998,108.510002,25820200,107.955733
2016-08-19,108.769997,109.690002,108.360001,109.360001,25368100,108.80139
2016-08-18,109.230003,109.599998,109.019997,109.080002,21984700,108.522821
2016-08-17,109.099998,109.370003,108.339996,109.220001,25356000,108.662106
2016-08-16,109.629997,110.230003,109.209999,109.379997,33794400,108.821284
2016-08-15,108.139999,109.540001,108.080002,109.480003,25868200,108.92078
2016-08-12,107.779999,108.440002,107.779999,108.18,18660400,107.627417
2016-08-11,108.519997,108.93,107.849998,107.93,27484500,107.378694
2016-08-10,108.709999,108.900002,107.760002,108.00,24008500,107.448336
2016-08-09,108.230003,108.940002,108.010002,108.809998,26315200,108.254196
2016-08-08,107.519997,108.370003,107.160004,108.370003,28037200,107.816449
2016-08-05,106.269997,107.650002,106.18,107.480003,40553400,106.930996
2016-08-04,105.580002,106.00,105.279999,105.870003,27408700,105.329219
2016-08-03,104.809998,105.839996,104.769997,105.790001,30202600,104.68254
2016-08-02,106.050003,106.07,104.00,104.480003,33816600,103.386256
2016-08-01,104.410004,106.150002,104.410004,106.050003,38167900,104.93982
2016-07-29,104.190002,104.550003,103.68,104.209999,27733700,103.119078
2016-07-28,102.830002,104.449997,102.82,104.339996,39869800,103.247715
2016-07-27,104.269997,104.349998,102.75,102.949997,92344800,101.872267
2016-07-26,96.82,97.970001,96.419998,96.669998,56239800,95.65801
2016-07-25,98.25,98.839996,96.919998,97.339996,40382900,96.320994
2016-07-22,99.260002,99.300003,98.309998,98.660004,28313700,97.627183
2016-07-21,99.830002,101.00,99.129997,99.43,32702000,98.389119
2016-07-20,100.00,100.459999,99.739998,99.959999,26276000,98.91357
2016-07-19,99.559998,100.00,99.339996,99.870003,23779900,98.824515
2016-07-18,98.699997,100.129997,98.599998,99.830002,36493900,98.784933
2016-07-15,98.919998,99.300003,98.50,98.779999,30137000,97.745922
2016-07-14,97.389999,98.989998,97.32,98.790001,38919000,97.755819
2016-07-13,97.410004,97.669998,96.839996,96.870003,25892200,95.855921
2016-07-12,97.169998,97.699997,97.120003,97.419998,24167500,96.400159
2016-07-11,96.75,97.650002,96.730003,96.980003,23794900,95.96477
2016-07-08,96.489998,96.889999,96.050003,96.68,28912100,95.667907
2016-07-07,95.699997,96.50,95.620003,95.940002,25139600,94.935656
2016-07-06,94.599998,95.660004,94.370003,95.529999,30949100,94.529945
2016-07-05,95.389999,95.400002,94.459999,94.989998,27705200,93.995597
2016-07-01,95.489998,96.470001,95.330002,95.889999,26026500,94.886177
2016-06-30,94.440002,95.769997,94.300003,95.599998,35836400,94.599212
2016-06-29,93.970001,94.550003,93.629997,94.400002,36531000,93.411777
2016-06-28,92.900002,93.660004,92.139999,93.589996,40444900,92.610251
2016-06-27,93.00,93.050003,91.50,92.040001,45489600,91.076482
2016-06-24,92.910004,94.660004,92.650002,93.400002,75311400,92.422245
2016-06-23,95.940002,96.290001,95.25,96.099998,32240200,95.093977
2016-06-22,96.25,96.889999,95.349998,95.550003,29219100,94.549739
2016-06-21,94.940002,96.349998,94.68,95.910004,35546400,94.905971
2016-06-20,96.00,96.57,95.029999,95.099998,34411900,94.104446
2016-06-17,96.620003,96.650002,95.300003,95.330002,61008200,94.332041
2016-06-16,96.449997,97.75,96.07,97.550003,31326800,96.528803
2016-06-15,97.82,98.410004,97.029999,97.139999,29445200,96.123091
2016-06-14,97.32,98.480003,96.75,97.459999,31931900,96.439741
2016-06-13,98.690002,99.120003,97.099998,97.339996,38020500,96.320994
2016-06-10,98.529999,99.349998,98.480003,98.830002,31712900,97.795402
2016-06-09,98.50,99.989998,98.459999,99.650002,26601400,98.606817
2016-06-08,99.019997,99.559998,98.68,98.940002,20848100,97.904251
2016-06-07,99.25,99.870003,98.959999,99.029999,22409500,97.993305
2016-06-06,97.989998,101.889999,97.550003,98.629997,23292500,97.597491
2016-06-03,97.790001,98.269997,97.449997,97.919998,28062900,96.894924
2016-06-02,97.599998,97.839996,96.629997,97.720001,40191600,96.697021
2016-06-01,99.019997,99.540001,98.330002,98.459999,29173300,97.429272
2016-05-31,99.599998,100.400002,98.82,99.860001,42307200,98.814618
2016-05-27,99.440002,100.470001,99.25,100.349998,36229500,99.299486
2016-05-26,99.68,100.730003,98.639999,100.410004,56331200,99.358863
2016-05-25,98.669998,99.739998,98.110001,99.620003,38168800,98.577132
2016-05-24,97.220001,98.089996,96.839996,97.900002,35140200,96.875137
2016-05-23,95.870003,97.190002,95.669998,96.43,38018600,95.420524
2016-05-20,94.639999,95.43,94.519997,95.220001,32026000,94.223192
2016-05-19,94.639999,94.639999,93.57,94.199997,30442100,93.213866
2016-05-18,94.160004,95.209999,93.889999,94.559998,42062400,93.570098
2016-05-17,94.550003,94.699997,93.010002,93.489998,46916900,92.511299
2016-05-16,92.389999,94.389999,91.650002,93.879997,61259800,92.897216
2016-05-13,90.00,91.669998,90.00,90.519997,44392800,89.57239
2016-05-12,92.720001,92.779999,89.470001,90.339996,76314700,89.394274
2016-05-11,93.480003,93.57,92.459999,92.510002,28719100,91.541563
2016-05-10,93.330002,93.57,92.110001,93.419998,33686800,92.442033
2016-05-09,93.00,93.769997,92.589996,92.790001,32936400,91.81863
2016-05-06,93.370003,93.449997,91.849998,92.720001,43458200,91.749363
2016-05-05,94.00,94.07,92.68,93.239998,35890500,92.263917
2016-05-04,95.199997,95.900002,93.82,94.190002,41025500,92.639944
2016-05-03,94.199997,95.739998,93.68,95.18,56831300,93.613649
2016-05-02,93.970001,94.080002,92.400002,93.639999,48160100,92.098992
2016-04-29,93.989998,94.720001,92.510002,93.739998,68531500,92.197345
2016-04-28,97.610001,97.879997,94.25,94.830002,82242700,93.269411
2016-04-27,96.00,98.709999,95.68,97.82,114602100,96.210203
2016-04-26,103.910004,105.300003,103.910004,104.349998,56016200,102.632739
2016-04-25,105.00,105.650002,104.510002,105.080002,28031600,103.350729
2016-04-22,105.010002,106.480003,104.620003,105.68,33683100,103.940854
2016-04-21,106.93,106.93,105.519997,105.970001,31552500,104.226082
2016-04-20,106.639999,108.089996,106.059998,107.129997,30611000,105.366989
2016-04-19,107.879997,108.00,106.230003,106.910004,32384900,105.150615
2016-04-18,108.889999,108.949997,106.940002,107.480003,60834000,105.711235
2016-04-15,112.110001,112.300003,109.730003,109.849998,46939000,108.042227
2016-04-14,111.620003,112.389999,111.330002,112.099998,25473900,110.2552
2016-04-13,110.800003,112.339996,110.800003,112.040001,33257300,110.19619
2016-04-12,109.339996,110.50,108.660004,110.440002,27232300,108.622522
2016-04-11,108.970001,110.610001,108.830002,109.019997,29407500,107.225885
2016-04-08,108.910004,109.769997,108.169998,108.660004,23581700,106.871816
2016-04-07,109.949997,110.419998,108.120003,108.540001,31801900,106.753788
2016-04-06,110.230003,110.980003,109.199997,110.959999,26404100,109.133961
2016-04-05,109.510002,110.730003,109.419998,109.809998,26578700,108.002885
2016-04-04,110.419998,112.190002,110.269997,111.120003,37356200,109.291332
2016-04-01,108.779999,110.00,108.199997,109.989998,25874000,108.179923
2016-03-31,109.720001,109.900002,108.879997,108.989998,25888400,107.19638
2016-03-30,108.650002,110.419998,108.599998,109.559998,45601100,107.756999
2016-03-29,104.889999,107.790001,104.879997,107.68,31190100,105.90794
2016-03-28,106.00,106.190002,105.059998,105.190002,19411400,103.45892
2016-03-24,105.470001,106.25,104.889999,105.669998,26133000,103.931016
2016-03-23,106.480003,107.07,105.900002,106.129997,25703500,104.383445
2016-03-22,105.25,107.290001,105.209999,106.720001,32444400,104.96374
2016-03-21,105.93,107.650002,105.139999,105.910004,35502700,104.167072
2016-03-18,106.339996,106.50,105.190002,105.919998,44205200,104.176902
2016-03-17,105.519997,106.470001,104.959999,105.800003,34420700,104.058882
2016-03-16,104.610001,106.309998,104.589996,105.970001,38303500,104.226082
2016-03-15,103.959999,105.18,103.849998,104.580002,40067700,102.858958
2016-03-14,101.910004,102.910004,101.779999,102.519997,25076100,100.832853
2016-03-11,102.239998,102.279999,101.50,102.260002,27408200,100.577138
2016-03-10,101.410004,102.239998,100.150002,101.169998,33513600,99.505072
2016-03-09,101.309998,101.580002,100.269997,101.120003,27201700,99.455899
2016-03-08,100.779999,101.760002,100.400002,101.029999,31561900,99.367376
2016-03-07,102.389999,102.830002,100.959999,101.870003,35828900,100.193556
2016-03-04,102.370003,103.75,101.370003,103.010002,46055100,101.314795
2016-03-03,100.580002,101.709999,100.449997,101.50,36955700,99.829643
2016-03-02,100.510002,100.889999,99.639999,100.75,33169600,99.091985
2016-03-01,97.650002,100.769997,97.419998,100.529999,50407100,98.875604
2016-02-29,96.860001,98.230003,96.650002,96.690002,35216300,95.098802
2016-02-26,97.199997,98.019997,96.580002,96.910004,28991100,95.315183
2016-02-25,96.050003,96.760002,95.25,96.760002,27582700,95.16765
2016-02-24,93.980003,96.379997,93.32,96.099998,36255700,94.518507
2016-02-23,96.400002,96.50,94.550003,94.690002,31942600,93.131715
2016-02-22,96.309998,96.900002,95.919998,96.879997,34280800,95.28567
2016-02-19,96.00,96.760002,95.800003,96.040001,35374200,94.459497
2016-02-18,98.839996,98.889999,96.089996,96.260002,39021000,94.675878
2016-02-17,96.669998,98.209999,96.150002,98.120003,44863200,96.505269
2016-02-16,95.019997,96.849998,94.610001,96.639999,49057900,95.049622
2016-02-12,94.190002,94.50,93.010002,93.989998,40351400,92.44323
2016-02-11,93.790001,94.720001,92.589996,93.699997,50074700,92.158002
2016-02-10,95.919998,96.349998,94.099998,94.269997,42343600,92.718621
2016-02-09,94.290001,95.940002,93.93,94.989998,44331200,93.426774
2016-02-08,93.129997,95.699997,93.040001,95.010002,54021400,93.446449
2016-02-05,96.519997,96.919998,93.690002,94.019997,46418100,92.472736
2016-02-04,95.860001,97.330002,95.190002,96.599998,46471700,95.010279
2016-02-03,95.00,96.839996,94.080002,96.349998,45964300,94.252947
2016-02-02,95.419998,96.040001,94.279999,94.480003,37357200,92.423652
2016-02-01,96.470001,96.709999,95.400002,96.43,40943500,94.331208
2016-01-29,94.790001,97.339996,94.349998,97.339996,64416500,95.221398
2016-01-28,93.790001,94.519997,92.389999,94.089996,55678800,92.042134
2016-01-27,96.040001,96.629997,93.339996,93.419998,133369700,91.386718
2016-01-26,99.93,100.879997,98.07,99.989998,75077000,97.813722
2016-01-25,101.519997,101.529999,99.209999,99.440002,51794500,97.275697
2016-01-22,98.629997,101.459999,98.370003,101.419998,65800500,99.212599
2016-01-21,97.059998,97.879997,94.940002,96.300003,52161500,94.20404
2016-01-20,95.099998,98.190002,93.419998,96.790001,72334400,94.683373
2016-01-19,98.410004,98.650002,95.50,96.660004,53087700,94.556205
2016-01-15,96.199997,97.709999,95.360001,97.129997,79010000,95.015969
2016-01-14,97.959999,100.480003,95.739998,99.519997,63170100,97.35395
2016-01-13,100.32,101.190002,97.300003,97.389999,62439600,95.270312
2016-01-12,100.550003,100.690002,98.839996,99.959999,49154200,97.784376
2016-01-11,98.970001,99.059998,97.339996,98.529999,49739400,96.3855
2016-01-08,98.550003,99.110001,96.760002,96.959999,70798000,94.849671
2016-01-07,98.68,100.129997,96.43,96.449997,81094400,94.350769
2016-01-06,100.559998,102.370003,99.870003,100.699997,68457400,98.508268
2016-01-05,105.75,105.849998,102.410004,102.709999,55791000,100.474523
2016-01-04,102.610001,105.370003,102.00,105.349998,67649400,103.057063
2015-12-31,107.010002,107.029999,104.82,105.260002,40635300,102.969025
2015-12-30,108.580002,108.699997,107.18,107.32,25213800,104.984187
2015-12-29,106.959999,109.43,106.860001,108.739998,30931200,106.373279
2015-12-28,107.589996,107.690002,106.18,106.82,26704200,104.495069
2015-12-24,109.00,109.00,107.949997,108.029999,13570400,105.678733
2015-12-23,107.269997,108.849998,107.199997,108.610001,32657400,106.246111
2015-12-22,107.400002,107.720001,106.449997,107.230003,32789400,104.896149
2015-12-21,107.279999,107.370003,105.57,107.330002,47590600,104.993971
2015-12-18,108.910004,109.519997,105.809998,106.029999,96453300,103.722263
2015-12-17,112.019997,112.25,108.980003,108.980003,44772800,106.608061
2015-12-16,111.07,111.989998,108.800003,111.339996,56238500,108.916689
2015-12-15,111.940002,112.800003,110.349998,110.489998,53323100,108.08519
2015-12-14,112.18,112.68,109.790001,112.480003,64318700,110.031884
2015-12-11,115.190002,115.389999,112.849998,113.18,46886200,110.716645
2015-12-10,116.040001,116.940002,115.510002,116.169998,29104200,113.641566
2015-12-09,117.639999,117.690002,115.080002,115.620003,46361400,113.103541
2015-12-08,117.519997,118.599998,116.860001,118.230003,34309500,115.656735
2015-12-07,118.980003,119.860001,117.809998,118.279999,32084200,115.705642
2015-12-04,115.290001,119.25,115.110001,119.029999,57777000,116.439319
2015-12-03,116.550003,116.790001,114.220001,115.199997,41569500,112.692677
2015-12-02,117.339996,118.110001,116.080002,116.279999,33386600,113.749172
2015-12-01,118.75,118.809998,116.860001,117.339996,34852400,114.786099
2015-11-30,117.989998,119.410004,117.75,118.300003,39180300,115.725211
2015-11-27,118.290001,118.410004,117.599998,117.809998,13046400,115.245871
2015-11-25,119.209999,119.230003,117.919998,118.029999,21388300,115.461084
2015-11-24,117.330002,119.349998,117.120003,118.879997,42803200,116.292582
2015-11-23,119.269997,119.730003,117.339996,117.75,32482500,115.187179
2015-11-20,119.199997,119.919998,118.849998,119.300003,34287100,116.703446
2015-11-19,117.639999,119.75,116.760002,118.779999,43295800,116.19476
2015-11-18,115.760002,117.489998,115.50,117.290001,46674700,114.737192
2015-11-17,114.919998,115.050003,113.32,113.690002,27616900,111.215547
2015-11-16,111.379997,114.239998,111.00,114.18,38106700,111.69488
2015-11-13,115.199997,115.57,112.269997,112.339996,45812400,109.894924
2015-11-12,116.260002,116.82,115.650002,115.720001,32525600,113.201363
2015-11-11,116.370003,117.419998,115.209999,116.110001,45218000,113.582874
2015-11-10,116.900002,118.07,116.059998,116.769997,59127900,114.228505
2015-11-09,120.959999,121.809998,120.050003,120.57,33871400,117.945802
2015-11-06,121.110001,121.809998,120.620003,121.059998,33042300,118.425135
2015-11-05,121.849998,122.690002,120.18,120.919998,39552700,118.288182
2015-11-04,123.129997,123.82,121.620003,122.00,44886100,118.835996
2015-11-03,120.790001,123.489998,120.699997,122.57,45519000,119.391213
2015-11-02,120.800003,121.360001,119.610001,121.18,32203300,118.037263
2015-10-30,120.989998,121.220001,119.449997,119.50,49365300,116.400832
2015-10-29,118.699997,120.690002,118.269997,120.529999,51227300,117.404119
2015-10-28,116.93,119.300003,116.059998,119.269997,85551400,116.176794
2015-10-27,115.400002,116.540001,113.989998,114.550003,69884400,111.579211
2015-10-26,118.080002,118.129997,114.919998,115.279999,66333800,112.290275
2015-10-23,116.699997,119.230003,116.330002,119.080002,59366900,115.991727
2015-10-22,114.330002,115.50,114.099998,115.50,41654100,112.50457
2015-10-21,114.00,115.580002,113.699997,113.760002,41795200,110.809698
2015-10-20,111.339996,114.169998,110.82,113.769997,48778800,110.819433
2015-10-19,110.800003,111.75,110.110001,111.730003,29759200,108.832346
2015-10-16,111.779999,112.00,110.529999,111.040001,39232600,108.160239
2015-10-15,110.93,112.099998,110.489998,111.860001,37673500,108.958972
2015-10-14,111.290001,111.519997,109.559998,110.209999,44462400,107.351763
2015-10-13,110.82,112.449997,110.68,111.790001,33049300,108.890788
2015-10-12,112.730003,112.75,111.440002,111.599998,30467200,108.705713
2015-10-09,110.00,112.279999,109.489998,112.120003,52766100,109.212231
2015-10-08,110.190002,110.190002,108.209999,109.50,61979600,106.660177
2015-10-07,111.739998,111.769997,109.410004,110.779999,46765600,107.90698
2015-10-06,110.629997,111.739998,109.769997,111.309998,48196800,108.423233
2015-10-05,109.879997,111.370003,109.07,110.779999,52064700,107.90698
2015-10-02,108.010002,111.010002,107.550003,110.379997,58019800,107.517352
2015-10-01,109.07,109.620003,107.309998,109.580002,63929100,106.738104
2015-09-30,110.169998,111.540001,108.730003,110.300003,66473000,107.439432
2015-09-29,112.830002,113.510002,107.860001,109.059998,73365400,106.231586
2015-09-28,113.849998,114.57,112.440002,112.440002,52109000,109.523932
2015-09-25,116.440002,116.690002,114.019997,114.709999,56151900,111.735057
2015-09-24,113.25,115.50,112.370003,115.00,50219500,112.017537
2015-09-23,113.629997,114.720001,113.300003,114.32,35756700,111.355172
2015-09-22,113.379997,114.18,112.519997,113.400002,50346200,110.459034
2015-09-21,113.669998,115.370003,113.660004,115.209999,50222000,112.22209
2015-09-18,112.209999,114.300003,111.870003,113.449997,74285300,110.507733
2015-09-17,115.660004,116.489998,113.720001,113.919998,64112600,110.965545
2015-09-16,116.25,116.540001,115.440002,116.410004,37173500,113.390973
2015-09-15,115.93,116.529999,114.419998,116.279999,43341200,113.26434
2015-09-14,116.580002,116.889999,114.860001,115.309998,58363400,112.319495
2015-09-11,111.790001,114.209999,111.760002,114.209999,49915500,111.248025
2015-09-10,110.269997,113.279999,109.900002,112.57,62892800,109.650558
2015-09-09,113.760002,114.019997,109.769997,110.150002,85010800,107.293321
2015-09-08,111.75,112.559998,110.32,112.309998,54843600,109.397299
2015-09-04,108.970001,110.449997,108.510002,109.269997,49996300,106.436139
2015-09-03,112.489998,112.779999,110.040001,110.370003,53233900,107.507617
2015-09-02,110.230003,112.339996,109.129997,112.339996,61888800,109.426519
2015-09-01,110.150002,111.879997,107.360001,107.720001,76845900,104.926341
2015-08-31,112.029999,114.529999,112.00,112.760002,56229300,109.835633
2015-08-28,112.169998,113.309998,111.540001,113.290001,53164400,110.351886
2015-08-27,112.230003,113.239998,110.019997,112.919998,84616100,109.991479
2015-08-26,107.089996,109.889999,105.050003,109.690002,96774600,106.845252
2015-08-25,111.110001,111.110001,103.50,103.739998,103601600,101.049557
2015-08-24,94.870003,108.800003,92.00,103.120003,162206300,100.445641
2015-08-21,110.43,111.900002,105.650002,105.760002,128275500,103.017174
2015-08-20,114.080002,114.349998,111.629997,112.650002,68501600,109.728485
2015-08-19,116.099998,116.519997,114.68,115.010002,47445700,112.02728
2015-08-18,116.43,117.440002,116.010002,116.50,34560700,113.478636
2015-08-17,116.040001,117.650002,115.50,117.160004,40884700,114.121522
2015-08-14,114.32,116.309998,114.010002,115.959999,42929500,112.952639
2015-08-13,116.040001,116.400002,114.540001,115.150002,48535800,112.163649
2015-08-12,112.529999,115.419998,109.629997,115.239998,101217500,112.251311
2015-08-11,117.809998,118.18,113.330002,113.489998,97082800,110.546696
2015-08-10,116.529999,119.989998,116.529999,119.720001,54951600,116.615128
2015-08-07,114.580002,116.25,114.50,115.519997,38670400,112.524048
2015-08-06,115.970001,116.50,114.120003,115.129997,52903000,112.144163
2015-08-05,112.949997,117.440002,112.099998,115.400002,99312600,111.900655
2015-08-04,117.419998,117.699997,113.25,114.639999,124138600,111.163699
2015-08-03,121.50,122.57,117.519997,118.440002,69976000,114.848472
2015-07-31,122.599998,122.639999,120.910004,121.300003,42885000,117.621747
2015-07-30,122.32,122.57,121.709999,122.370003,33628300,118.659301
2015-07-29,123.150002,123.50,122.269997,122.989998,37011700,119.260495
2015-07-28,123.379997,123.910004,122.550003,123.379997,33618100,119.638669
2015-07-27,123.089996,123.610001,122.120003,122.769997,44455500,119.047165
2015-07-24,125.32,125.739998,123.900002,124.50,42162300,120.724709
2015-07-23,126.199997,127.089996,125.059998,125.160004,50999500,121.364699
2015-07-22,121.989998,125.50,121.989998,125.220001,115450600,121.422877
2015-07-21,132.850006,132.919998,130.320007,130.75,76756400,126.785186
2015-07-20,130.970001,132.970001,130.699997,132.070007,58900200,128.065166
2015-07-17,129.080002,129.619995,128.309998,129.619995,46164700,125.689447
2015-07-16,127.739998,128.570007,127.349998,128.509995,36222400,124.613106
2015-07-15,125.720001,127.150002,125.580002,126.82,33649200,122.974358
2015-07-14,126.040001,126.370003,125.040001,125.610001,31768100,121.80105
2015-07-13,125.029999,125.760002,124.32,125.660004,41440500,121.849537
2015-07-10,121.940002,123.849998,121.209999,123.279999,61354500,119.541702
2015-07-09,123.849998,124.059998,119.220001,120.07,77821600,116.429042
2015-07-08,124.480003,124.639999,122.540001,122.57,60761600,118.853233
2015-07-07,125.889999,126.150002,123.769997,125.690002,46946800,121.878626
2015-07-06,124.940002,126.230003,124.849998,126.00,28060400,122.179223
2015-07-02,126.43,126.690002,125.769997,126.440002,27211000,122.605883
2015-07-01,126.900002,126.940002,125.989998,126.599998,30238800,122.761028
2015-06-30,125.57,126.120003,124.860001,125.43,44370700,121.626508
2015-06-29,125.459999,126.470001,124.480003,124.529999,49161400,120.753798
2015-06-26,127.669998,127.989998,126.510002,126.75,44066800,122.906481
2015-06-25,128.860001,129.199997,127.50,127.50,31938100,123.633738
2015-06-24,127.209999,129.800003,127.120003,128.110001,55280900,124.225241
2015-06-23,127.480003,127.610001,126.879997,127.029999,30268900,123.177989
2015-06-22,127.489998,128.059998,127.080002,127.610001,34039300,123.740403
2015-06-19,127.709999,127.82,126.400002,126.599998,54716900,122.761028
2015-06-18,127.230003,128.309998,127.220001,127.879997,35407200,124.002212
2015-06-17,127.720001,127.879997,126.739998,127.300003,32918100,123.439806
2015-06-16,127.029999,127.849998,126.370003,127.599998,31494100,123.730704
2015-06-15,126.099998,127.239998,125.709999,126.919998,43988900,123.071324
2015-06-12,128.190002,128.330002,127.110001,127.169998,36886200,123.313743
2015-06-11,129.179993,130.179993,128.479996,128.589996,35390900,124.690682
2015-06-10,127.919998,129.339996,127.849998,128.880005,39087300,124.971896
2015-06-09,126.699997,128.080002,125.620003,127.419998,56075400,123.556162
2015-06-08,128.899994,129.210007,126.830002,127.800003,52674800,123.924644
2015-06-05,129.50,129.690002,128.360001,128.649994,35626800,124.74886
2015-06-04,129.580002,130.580002,128.910004,129.360001,38450100,125.437337
2015-06-03,130.660004,130.940002,129.899994,130.119995,30889400,126.174285
2015-06-02,129.860001,130.660004,129.320007,129.960007,33667600,126.019148
2015-06-01,130.279999,131.389999,130.050003,130.539993,32112800,126.581548
2015-05-29,131.229996,131.449997,129.899994,130.279999,50884500,126.329437
2015-05-28,131.860001,131.949997,131.100006,131.779999,30733300,127.783952
